#Sightline,Z,errZ,ne,errne,T,errT
1,0.06,0.02,-1.93,0.04,4.84,0.01
2,-1.74,0.21,-1.49,0.5,5.36,0.02
3,-1.78,0.04,-0.64,0.5,5.24,0.01
4,-0.6,0.02,-0.72,0.5,5.64,0.01
5,-0.79,0.1,-4.87,0.12,4.09,0.24
6,0.06,0.02,-3.11,0.1,5.36,0.01
7,-0.03,0.04,-1.18,0.5,5.18,0.01
8,-0.76,0.12,-3.2,0.03,4.42,0.06
9,0.16,0.22,-3.7,0.15,4.81,0.06
10,-0.38,0.06,-3.02,0.02,4.6,0.03
